,AT,SA,DA,Length,SRCE,DSTI
4434,2020-05-23 21:09:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:16,180,Google_speaker,Actie_uitsturen
4435,2020-05-23 21:09:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,872,Google_speaker,Actie_uitsturen
4441,2020-05-23 21:09:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,981,Laptop,Actie_uitsturen
4450,2020-05-23 21:09:20+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,304,Google_speaker,Actie_uitsturen
4451,2020-05-23 21:09:20+02:00,e4:ce:8f:4c:29:ae,33:33:00:00:00:fb,257,Laptop,Actie_uitsturen
4455,2020-05-23 21:09:25+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
4460,2020-05-23 21:09:25+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1647,Google_home,Actie_uitsturen
4462,2020-05-23 21:09:30+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,2320,PhilipsHue,Actie_uitsturen
4470,2020-05-23 21:09:40+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1138,Google_home,Actie_uitsturen
4473,2020-05-23 21:09:40+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2346,Google_speaker,Actie_uitsturen
4510,2020-05-23 21:10:20+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,1865,PhilipsHue,Actie_uitsturen
4527,2020-05-23 21:10:35+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
4528,2020-05-23 21:10:40+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1283,Google_speaker,Actie_uitsturen
4529,2020-05-23 21:10:40+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1569,Google_home,Actie_uitsturen
4538,2020-05-23 21:10:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,981,Desktop,Actie_uitsturen
4541,2020-05-23 21:10:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:16,180,Google_speaker,Actie_uitsturen
4544,2020-05-23 21:10:50+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,332,Google_speaker,Actie_uitsturen
4547,2020-05-23 21:10:50+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1841,Google_home,Actie_uitsturen
4565,2020-05-23 21:11:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,654,Laptop,Actie_uitsturen
4568,2020-05-23 21:11:15+02:00,e4:ce:8f:62:3b:53,33:33:00:00:00:fb,212,Desktop,Actie_uitsturen
4570,2020-05-23 21:11:15+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
4571,2020-05-23 21:11:15+02:00,e4:ce:8f:62:3b:53,01:00:5e:00:00:fb,192,Desktop,Actie_uitsturen
4574,2020-05-23 21:11:15+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
4578,2020-05-23 21:11:20+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
4580,2020-05-23 21:11:20+02:00,e4:ce:8f:4c:29:ae,01:00:5e:00:00:fb,237,Laptop,Actie_uitsturen
